id_produto,nome_produto,categoria,preco,fornecedor,peso_kg,estoque_disponivel,avaliacao_interna,ativo,data_cadastro_produto
PROD-0243,Bola de Pilates 65cm,Esportes,157.00,Atlética Import Ltda,7.05,0,null,Sim,2019-06-22
PROD-0244,Rolo de Pilates,Esportes,76.00,SportsBrasil Atacado,2.5,34,null,0,2024-01-05
PROD-0245,Prancha de Surf,Esportes,805.00,SportsBrasil Atacado,11.94,80,null,S ,2019-05-19
PROD-0246,Body Board,Esportes,304.00,SportsBrasil Atacado,13.87,140,null,sim,2020-01-22
PROD-0247,Pé de Pato par,Esportes,125.00,Fitness Distribuidora,5.08,69,null,S,2019-06-13
PROD-0248,Rede de Vôlei,Esportes,0,Atlética Import Ltda,8.55,223,null,N,2021-05-03
PROD-0249,Trave de Futebol Infantil,Esportes,302.00,Atlética Import Ltda,6.27,187,null,Sim,2024-12-09
PROD-0250,Perfume Feminino 100ml,Beleza,229.00,Cosméticos do Brasil Ltda,0.44,280,null,1,2024-03-31
PROD-0251,Perfume Masculino 100ml,Beleza,148.00,Cosméticos do Brasil Ltda,0.7,210,null,1,2020-01-06
PROD-0252,Perfume Feminino 50ml,Beleza,130.00,Perfumes & Cia,0.85,439,null,sim,2021-12-24
PROD-0253,Perfume Masculino 50ml,bel,109.00,Perfumes & Cia,0.35,385,null,sim,2019-01-09
PROD-0254,Secador de Cabelo 2200W,Beleza,null,Perfumes & Cia,null,258,null,sim,2025-07-17
PROD-0255,Secador de Cabelo 1800W,Beleza,90.00,Perfumes & Cia,0.12,172,null,1,2025-07-23
PROD-0256,Chapinha Profissional,Beleza,303.00,Beleza Total Atacado,1.29,null,null,1,2021-12-18
PROD-0257,Modelador de Cachos,null, 120.00,Beauty Import Brasil,0.21,127,null,S,2024-07-26
PROD-0258,Máquina de Cortar Cabelo,Beleza,223.00,Beauty Import Brasil,0.31,63,null,S,2021-07-27
PROD-0259,Aparador de Pelos,beleza,104.00,Perfumes & Cia,0.31,487,null,sim,2023-04-18
PROD-0260,Kit Skincare Facial,Beleza,-100,Beauty Import Brasil,0.3,195,null,Sim,2020-05-14
PROD-0261,Protetor Solar FPS 70,Beleza,"57,00",Beauty Import Brasil,0.97,32,null,Sim,2022-08-11
PROD-0262,Protetor Solar FPS 30,Beleza,39.00,Perfumes & Cia,1.4,388,null,Nao,2020-10-20
PROD-0263,Creme Anti-idade,Beleza,0,Cosméticos do Brasil Ltda,1,null,null, N,2019-05-28
PROD-0264,Creme Hidratante Facial,Beleza,"R$ 62,00",Beauty Import Brasil,0.61,344,null, N,2022-03-22
PROD-0265,Shampoo Profissional 1L,Beleza,41.00,Beleza Total Atacado,0.85,354,null,Sim,2020-07-09
PROD-0266,Condicionador Profissional 1L,Beleza,59.00,Beauty Import Brasil,0.16,204,null,1,2024-05-14
PROD-0267,Máscara Capilar 500g,Beleza,141.00,Beleza Total Atacado,1.17,131,null,S ,2019-03-21
PROD-0268,Óleo Capilar 60ml,Beleza,61.00,Beauty Import Brasil,0.21,279,null,SIM,2025-12-21
PROD-0269,Escova de Cabelo Profissional,Beleza,null,Cosméticos do Brasil Ltda,1.47,139,null,S,2020-07-23
PROD-0270,Paleta de Sombras 18 Cores,Beleza,99.00,Beauty Import Brasil,null,463,null,S,2019-03-28
PROD-0271,Base Líquida,Beleza,-100,Beleza Total Atacado,0.25,433,null,S,2018-01-20
PROD-0272,Batom Matte,Beleza,35.00,Beleza Total Atacado,0.93,128,null,SIM,2019-06-24
PROD-0273,Batom Gloss,Beleza,27.00,Beauty Import Brasil,1.48,22,null,Sim,2019-10-16
PROD-0274,Sérum Vitamina C,Beleza,233.00,Perfumes & Cia,0.16,415,null,S ,2019-06-24
PROD-0275,Sérum Ácido Hialurônico,Beleza,186.00,Beauty Import Brasil,1.27,247,null,Nao,2024-04-11
PROD-0276,Desodorante Antitranspirante,Beleza,18.00,Perfumes & Cia,0.84,379,null,SIM,2024-12-21
PROD-0277,Loção Corporal Hidratante,Beleza,58.00,Beauty Import Brasil,0.76,97,null,S,2019-09-18
PROD-0278,Óleo Corporal,null,44.00,Beauty Import Brasil,0.78,338,null,Sim,2026-01-12
PROD-0279,Kit Manicure 10 Peças,bel,43.00,Cosméticos do Brasil Ltda,0.36,247,null,0,2025-03-07
PROD-0280,Esponja Mágica de Maquiagem,BELEZA,80.00,Perfumes & Cia,0.75,42,null,S,2023-12-24
PROD-0281,Removedor de Maquiagem,Beleza,46.00,Perfumes & Cia,0.83,466,null,NAO,2020-02-03
PROD-0282,Tônico Facial,Beleza,"R$ 149,00",Cosméticos do Brasil Ltda,1.19,308,null,Sim,2021-05-20
PROD-0283,Esfoliante Corporal,Beleza,48.00,Beauty Import Brasil,1.22,1,null,S,2023-07-18
PROD-0284,Sabonete Líquido 500ml,null,null,Cosméticos do Brasil Ltda,0.81,3,null,Sim,2018-06-06
PROD-0285,Gel de Limpeza Facial,Beleza,-100,Cosméticos do Brasil Ltda,null,98,null,Sim,2021-03-01
PROD-0286,Máscara Facial Argila,Beleza,58.00,Beleza Total Atacado,0.71,0,null,SIM,2023-08-15
PROD-0287,Pincel de Maquiagem Kit,BELEZA,"R$ 111,00",Perfumes & Cia,0.97,442,null,nao,2025-06-28
PROD-0288,Esmalte Kit 6 Cores,Beleza,0,Cosméticos do Brasil Ltda,0.84,50,null,1,2020-12-09
PROD-0289,Creme para as Mãos,null,null,Beauty Import Brasil,0.66,0,null,sim,2021-04-30
PROD-0290,Bálsamo Labial,Beleza,17.00,Perfumes & Cia,1.13,386,null,N,2020-08-03
PROD-0291,Spray Fixador de Maquiagem,Beleza,39.00,Beleza Total Atacado,1.13,356,null,1,2021-01-08
PROD-0292,Corretivo Líquido,Beleza,85.00,Beauty Import Brasil,1.47,370,null,S,2024-07-19
PROD-0293,Blush em Pó,Beleza,"R$ 42,00",Beauty Import Brasil,1.39,60,null,Sim,2018-01-30
PROD-0294,Iluminador Facial,Beleza,0,Beauty Import Brasil,0.27,22,null, N,2018-05-16
PROD-0295,Delineador Líquido,B3LEZA,44.00,Cosméticos do Brasil Ltda,1.41,474,null,Sim,2019-06-29
PROD-0296,Máscara de Cílios,Beleza,83.00,Beauty Import Brasil,0.17,176,null,S,2019-01-31
PROD-0297,Lápis de Sobrancelha,Beleza,52.00,Perfumes & Cia,1.26,482,null,NAO,2023-04-14
PROD-0298,Kit Hidratação Capilar,Beleza,51.00,Beleza Total Atacado,0.55,40,null,1,2023-09-28
PROD-0299,Escova Progressiva,Belz,243.00,Beleza Total Atacado,1.23,355,null,Nao,2025-01-19
PROD-0300,Kit Barba Completo,beleza,158.00,Beauty Import Brasil,0.83,0,null,Nao,2023-03-04
PROD-0301,Protetor Labial,Beleza,15.00,Beauty Import Brasil,0.77,292,null,nao,2023-09-24
PROD-0302,Shampoo Anticaspa 400ml,Beleza, 47.00,Beleza Total Atacado,1.2,246,null,Sim,2020-04-30
PROD-0303,Condicionador Hidratante 400ml,Beleza,50.00,Beauty Import Brasil,0.63,239,null,1,2022-07-25
PROD-0304,Creme de Barbear,Beleza,53.00,Cosméticos do Brasil Ltda,0.77,176,null,Nao,2021-01-06
PROD-0305,Pos-barba Hidratante,Beleza,80.00,Beleza Total Atacado,0.19,368,null,sim,2019-01-04
PROD-0306,Loção Pos-sol,Beleza,73.00,Beleza Total Atacado,0.26,279,null,S ,2023-02-13
PROD-0307,Autobronzeador,Beleza,"R$ 135,00",Perfumes & Cia,1.38,194,null,NAO,2019-12-05
PROD-0308,Creme de Depilação,bel,80.00,Beleza Total Atacado,1,427,null,Sim,2025-11-11
PROD-0309,Cera Depilatória,Beleza,45.00,Beauty Import Brasil,0.84,332,null,1,2018-07-23
PROD-0310,Kit Coloração Cabelo,Beleza,-100,Beauty Import Brasil,0.93,96,null,1,2023-03-02
PROD-0311,Tinta para Cabelo,Beleza,-100,Beauty Import Brasil,0.74,107,null,0,2020-03-06
PROD-0312,Pneu Aro 15,Automotivo,0,Peças & Cia Distribuidora,6.08,198,null,sim,2021-04-06
PROD-0313,Pneu Aro 14,Autom,432.00,Automotivo Import,5.01,null,null,SIM,2020-10-11
PROD-0314,Pneu Aro 16,Automotivo ,551.00,AutoPeças Brasil Ltda,13.17,232,null,SIM,2020-05-01
PROD-0315,Pneu Aro 17,Automotivo,556.00,AutoPeças Brasil Ltda,22.27,169,null, N,2022-11-12
PROD-0316,Bateria Automotiva 60Ah,Automotivo,516.00,Peças & Cia Distribuidora,18.18,411,null,1,2025-06-21
PROD-0317,Bateria Automotiva 45Ah,Automotivo,512.00,AutoPeças Brasil Ltda,8.16,483,null,SIM,2018-04-12
PROD-0318,Bateria Automotiva 80Ah,Automotivo,686.00,Peças & Cia Distribuidora,21.97,385,null,1,2020-04-02
PROD-0319,Oleo de Motor 5W30 4L,Automotivo,-100,AutoPeças Brasil Ltda,6.3,350,null,nao,2021-03-12
PROD-0320,Oleo de Motor 10W40 4L,Automotivo,170.00,AutoPeças Brasil Ltda,8.78,3,null,SIM,2021-07-16
PROD-0321,Oleo de Motor 0W20 4L,null,null,Peças & Cia Distribuidora,1.27,450,null,Sim,2023-12-24
PROD-0322,Central Multimidia 7 Polegadas,Automotivo,592.00,AutoPeças Brasil Ltda,21.65,165,null,S,2025-01-17
PROD-0323,Central Multimidia 9 Polegadas,Automotivo,904.00,AutoPeças Brasil Ltda,17.78,4,null,sim,2026-01-16
PROD-0324,Capa para Banco Dianteiro Par,automotiv3,165.00,Automotivo Import,22.5,133,null,1,2020-01-20
PROD-0325,Capa para Banco Traseiro,automotiv3,297.00,AutoPeças Brasil Ltda,14.09,238,null,1,2024-04-14
PROD-0326,Tapete Automotivo 4 Pecas,Automotivo,161.00,AutoPeças Brasil Ltda,12.8,131,null,Sim,2026-02-23
PROD-0327,Tapete Automotivo Personalizado,Automotivo,291.00,Peças & Cia Distribuidora,22.15,166,null,SIM,2019-01-04
PROD-0328,Suporte Veicular Celular,Automotivo,66.00,AutoPeças Brasil Ltda,23.16,198,null,S ,2022-01-30
PROD-0329,Camera de Re,Automotivo,"R$ 124,00",AutoPeças Brasil Ltda,11.96,410,null,Sim,2022-03-28
PROD-0330,Camera Frontal,automotivo,-100,Peças & Cia Distribuidora,8.53,299,null,1,2018-02-09
PROD-0331,Alarme Automotivo Completo,Automotivo,544.00,AutoPeças Brasil Ltda,10.89,85,null,Sim,2021-12-07
PROD-0332,Pelicula Automotiva Solar,Automotivo,192.00,AutoPeças Brasil Ltda,1.22,146,null,Nao,2023-10-02
PROD-0333,Extintor de Incendio Veicular,Automotivo,137.00,Peças & Cia Distribuidora,9.3,457,null,SIM,2018-10-06
PROD-0334,Chave de Roda,Automotivo,38.00,AutoPeças Brasil Ltda,11.98,227,null,Sim,2024-12-26
PROD-0335,Caixa de Som Automotiva,Automotivo,240.00,AutoPeças Brasil Ltda,19.77,91,null,0,2025-02-22
PROD-0336,Lampada LED Automotiva H4,Automotivo,81.00,Automotivo Import,21.65,172,null,S,2023-06-22
PROD-0337,Carregador Veicular USB,Automotivo,118.00,Peças & Cia Distribuidora,16.34,186,null,Sim,2024-08-26
PROD-0338,Aspirador Veicular 12V,Automotivo,221.00,Automotivo Import,21.21,296,null,S ,2022-02-09
PROD-0339,Para-brisa Defletor,Automotivo,242.00,Peças & Cia Distribuidora,13.54,317,null,SIM,2021-10-06
PROD-0340,Capa de Chuva para Carro,Automotivo,248.00,Automotivo Import,21.9,479,null, N,2018-09-23
PROD-0341,Triangulo de Sinalizacao,Automotivo,67.00,Peças & Cia Distribuidora,7.91,89,null,Sim,2020-09-07
PROD-0342,Cabo de Ligacao Veicular,Automotivo,-100,AutoPeças Brasil Ltda,24.08,340,null,Sim,2019-08-03
PROD-0343,GPS Veicular,Automotivo,210.00,AutoPeças Brasil Ltda,23.16,16,null,S,2022-11-04
PROD-0344,Retrovisor com Monitor,Automotivo, 276.00,Peças & Cia Distribuidora,12.77,461,null,sim,2023-01-08
PROD-0345,Sensor de Estacionamento,Automotivo,173.00,AutoPeças Brasil Ltda,null,39,null,NAO,2022-03-23
PROD-0346,Volante Esportivo,Automotivo,307.00,Automotivo Import,22.97,38,null,Nao,2026-01-10
PROD-0347,Pedal Esportivo Kit,Automotivo,193.00,AutoPeças Brasil Ltda,0.75,484,null,SIM,2025-12-29
PROD-0348,Capa de Volante,Automotivo,33.00,Automotivo Import,20.86,280,null,1,2024-03-14
PROD-0349,Organizador de Porta Malas,Autom,190.00,Automotivo Import,24.75,345,null,1,2021-11-01
PROD-0350,Bomba de Ar Compressor 12V,aut,-100,AutoPeças Brasil Ltda,19.2,131,null,S ,2020-10-28
PROD-0351,Macaco Hidraulico 2T,Automotivo,427.00,Automotivo Import,6.9,381,null,1,2025-03-29
PROD-0352,Limpador de Para-brisa Par,Autom,148.00,Peças & Cia Distribuidora,2.36,0,null,SIM,2024-11-27
PROD-0353,Fluido de Freio 500ml,aut,75.00,AutoPeças Brasil Ltda,6.03,21,null,S ,2022-08-05
PROD-0354,Fluido de Arrefecimento 1L,Automotivo,47.00,AutoPeças Brasil Ltda,0.32,0,null,S ,2025-04-05
PROD-0355,Cera Automotiva 500g,Automotivo,62.00,Peças & Cia Distribuidora,null,497,null,0,2024-02-14
PROD-0356,Shampoo Automotivo 1L,null,51.00,AutoPeças Brasil Ltda,13.82,1,null,sim,2022-06-19
PROD-0357,Pretinho para Pneu,Automotivo,59.00,Automotivo Import,11.11,349,null,S ,2018-08-02
PROD-0358,Flanela Automotiva Kit 5,Automotivo,73.00,Peças & Cia Distribuidora,16.59,437,null,NAO,2025-10-12
PROD-0359,Suporte para Bicicleta Veicular,Automotivo,215.00,Automotivo Import,null,17,null,1,2019-12-28
PROD-0360,Rack de Teto Universal,Automotivo,318.00,AutoPeças Brasil Ltda,22.64,137,null, N,2024-03-31
PROD-0361,Forro de Cacamba,Automotivo,471.00,AutoPeças Brasil Ltda,null,335,null,S ,2025-12-17
PROD-0362,Buzina Automotiva,Automotivo,-100,AutoPeças Brasil Ltda,5.61,28,null,nao,2021-03-31
PROD-0363,Kit Primeiros Socorros Veicular,Automotivo,40.00,Peças & Cia Distribuidora,7.24,33,null, N,2023-01-08
PROD-0364,Desembacador de Para-brisa,Automotivo,47.00,Peças & Cia Distribuidora,0.65,160,null,N,2019-04-11
PROD-0365,Polidor Automotivo 500g,Automotivo,74.00,Peças & Cia Distribuidora,4.76,341,null,SIM,2024-09-14
PROD-0366,Selante de Pneu,Automotivo,46.00,AutoPeças Brasil Ltda,9.6,432,null,sim,2019-11-11
PROD-0367,Filtro de Ar Veicular,Automotivo,92.00,AutoPeças Brasil Ltda,6.67,153,null,1,2023-08-05
PROD-0368,Vela de Ignicao Kit 4,Automotivo,"65,00",AutoPeças Brasil Ltda,4.61,307,null,Sim,2019-12-13
PROD-0369,Correia Dentada Kit,Automotivo,160.00,AutoPeças Brasil Ltda,10.52,null,null,Sim,2025-08-20
PROD-0370,Amortecedor Traseiro Par,Automotivo,"R$ 615,00",AutoPeças Brasil Ltda,16.44,362,null,N,2026-01-22
PROD-0371,Pastilha de Freio Kit,null,208.00,Peças & Cia Distribuidora,21.7,164,null,1,2020-02-03
PROD-0372,Boneca Articulada 30cm,Brinquedo,145.00,Fun Kids Distribuidora,5.72,0,null,SIM,2022-06-27
PROD-0373,Boneca Baby 20cm,Brinquedos,-100,Toy Import Atacado,0.2,104,null,Sim,2019-11-27
PROD-0374,Carrinho de Controle Remoto,Brinquedos,165.00,Brinquedos do Brasil Ltda,6.25,32,null,S,2022-04-21
PROD-0375,Carrinho de Friccao Kit 5,Brinquedos,140.00,Fun Kids Distribuidora,5.75,153,null,Sim,2021-08-14
PROD-0376,Jogo de Tabuleiro Familia,brin,160.00,Brinquedos do Brasil Ltda,1.13,337,null,1,2018-06-22
PROD-0377,Jogo de Cartas UNO,Brinquedos, 71.00,Toy Import Atacado,2.9,84,null,0,2019-12-30
PROD-0378,Xadrez Magnetico,Brinquedos,128.00,Brinquedos do Brasil Ltda,5.27,282,null,N,2023-10-25
PROD-0379,Quebra-cabeca 1000 Pecas,Brinquedos,53.00,Brinquedos do Brasil Ltda,7.88,462,null,NAO,2024-12-09
PROD-0380,Quebra-cabeca 500 Pecas,Brinq,73.00,Fun Kids Distribuidora,1.97,291,null,sim,2020-06-05
PROD-0381,Quebra-cabeca 3D,Brinquedos,154.00,Fun Kids Distribuidora,0.68,117,null,0,2023-09-27
PROD-0382,Blocos de Montar 200 Pecas,Brinquedos,-100,Brinquedos do Brasil Ltda,5.35,486,null,N,2025-07-11
PROD-0383,Blocos de Montar 500 Pecas,Brinquedos,457.00,Brinquedos do Brasil Ltda,3.3,145,null,1,2023-07-13
PROD-0384,Pelucia 40cm,brin,183.00,Brinquedos do Brasil Ltda,7.84,416,null,S,2025-07-17
PROD-0385,Pelucia 60cm,Brinquedos,291.00,Brinquedos do Brasil Ltda,4.19,87,null,Sim,2024-06-06
PROD-0386,Pelucia Gigante 80cm,Brinquedos,165.00,Toy Import Atacado,2.11,114,null,sim,2026-03-06
PROD-0387,Kit Massinha de Modelar,Brinquedos,81.00,Brinquedos do Brasil Ltda,1.25,72,null,1,2025-12-30
PROD-0388,Pista de Corrida Eletrica,Brinquedos,546.00,Brinquedos do Brasil Ltda,4.35,75,null,1,2018-09-01
PROD-0389,Robo Interativo,Brinquedos,null,Fun Kids Distribuidora,1.03,3,null,1,2025-09-22
PROD-0390,Robo Programavel,Brinquedos,490.00,Fun Kids Distribuidora,1.63,270,null,NAO,2019-04-30
PROD-0391,Patinete Infantil,Brinquedos,334.00,Brinquedos do Brasil Ltda,3.52,426,null,sim,2022-01-20
PROD-0392,Bicicleta Infantil Aro 16,Brinquedos,366.00,Fun Kids Distribuidora,5.12,427,null,NAO,2021-05-07
PROD-0393,Bicicleta Infantil Aro 12,Brinquedos,201.00,Brinquedos do Brasil Ltda,2.99,null,null,1,2023-04-09
PROD-0394,Escorregador Infantil,Brinquedos,203.00,Fun Kids Distribuidora,1.02,254,null,SIM,2022-03-19
PROD-0395,Balanco Infantil,Brinquedos,261.00,Brinquedos do Brasil Ltda,0.56,476,null,0,2025-02-14
PROD-0396,Jogo de Memoria,Brinquedos,80.00,Toy Import Atacado,2.82,336,null,NAO,2025-02-14
PROD-0397,Domino Infantil,Brinquedo,null,Toy Import Atacado,5.77,376,null,0,2021-02-02
PROD-0398,Kit Panelinhas Infantil,Brinq,null,Brinquedos do Brasil Ltda,6.49,265,null,1,2025-09-08
PROD-0399,Fantasia Infantil,Brinq,122.00,Fun Kids Distribuidora,7.45,304,null,S ,2022-06-09
PROD-0400,Telescopio Infantil,brin,"R$ 204,00",Toy Import Atacado,5.61,69,null,Nao,2023-05-16
PROD-0401,Microscopio Infantil,Brinquedos,359.00,Toy Import Atacado,5.5,384,null,Nao,2018-01-09
PROD-0402,Drone Infantil,brinquedos,213.00,Brinquedos do Brasil Ltda,0.35,261,null,1,2019-09-15
PROD-0403,Kit Experimentos Cientificos,Brinquedos,132.00,Brinquedos do Brasil Ltda,5.52,156,null,S ,2018-04-21
PROD-0404,Piscina de Bolinhas,Brinquedos,154.00,Brinquedos do Brasil Ltda,3.31,0,null,S ,2018-07-28
PROD-0405,Gangorra Infantil,Brinquedos,178.00,Brinquedos do Brasil Ltda,5.06,365,null,Sim,2019-04-12
PROD-0406,Cama Elastica Infantil,Brinquedos,205.00,Toy Import Atacado,3.81,107,null,S ,2021-07-19
PROD-0407,Lancador de Dardos,Brinquedos,66.00,Brinquedos do Brasil Ltda,6.02,359,null,Sim,2020-12-29
PROD-0408,Pistola de Bolhas,Brinquedos,46.00,Brinquedos do Brasil Ltda,3.91,73,null,1,2018-04-24
PROD-0409,Kit de Pintura Infantil,Brinquedos,"R$ 165,00",Fun Kids Distribuidora,4.24,32,null,1,2023-06-07
PROD-0410,Lousa Magnetica,Brinquedos,185.00,Brinquedos do Brasil Ltda,4.61,245,null,Sim,2020-01-30
PROD-0411,Teclado Musical Infantil,Brinq,84.00,Fun Kids Distribuidora,7.49,417,null,NAO,2019-05-14
PROD-0412,Violao Infantil,Brinquedos,107.00,Toy Import Atacado,7.48,351,null,Nao,2024-07-14
PROD-0413,Bateria Musical Infantil,Brinq,456.00,Brinquedos do Brasil Ltda,4.15,44,null,nao,2024-05-18
PROD-0414,Microfone Infantil,Brinquedos,"R$ 60,00",Brinquedos do Brasil Ltda,3.86,115,null,sim,2023-12-24
PROD-0415,Kit Medico Infantil,Brinquedos,112.00,Fun Kids Distribuidora,7.87,327,null,SIM,2024-06-17
PROD-0416,Kit Ferramentas Infantil,Brinquedos,63.00,Brinquedos do Brasil Ltda,1.92,457,null,SIM,2020-10-09
PROD-0417,Pula Corda Infantil,Brinquedos, 27.00,Brinquedos do Brasil Ltda,2.24,430,null,Sim,2024-04-04
PROD-0418,Bamboleo,BR1NQUEDOS,-100,Brinquedos do Brasil Ltda,1.55,104,null,nao,2022-03-31
PROD-0419,Casinha de Bonecas,Brinquedos,371.00,Brinquedos do Brasil Ltda,3.71,327,null,Sim,2023-01-08
PROD-0420,Caminhao de Brinquedo,Brinquedo,98.00,Brinquedos do Brasil Ltda,4.2,null,null, N,2024-02-19
PROD-0421,Moto de Brinquedo,Brinquedos,83.00,Brinquedos do Brasil Ltda,7.33,330,null,0,2023-02-09
PROD-0422,Boneco de Acao,Brinquedos,193.00,Toy Import Atacado,1.03,94,null,sim,2025-03-19
PROD-0423,Kit Magica Infantil,Brinquedos,"95,00",Brinquedos do Brasil Ltda,6.22,218,null,S ,2021-08-07
PROD-0424,Bolinha de Gude Kit,Brinquedos,31.00,Brinquedos do Brasil Ltda,4.03,278,null,sim,2023-07-08
PROD-0425,Pipa Infantil,Brinquedos,0,Brinquedos do Brasil Ltda,2.06,134,null,S,2024-09-03
PROD-0426,Carrinho de Bebe de Boneca,Brinquedos,149.00,Brinquedos do Brasil Ltda,5.62,169,null,Sim,2020-04-27
PROD-0427,Cozinha Infantil,Brinquedos,256.00,Brinquedos do Brasil Ltda,1.96,172,null,0,2019-05-05
PROD-0428,Cavalinho de Balanco,Brinquedos,196.00,Brinquedos do Brasil Ltda,3.6,353,null,1,2021-08-06
PROD-0429,Tapete de Atividades,Brinquedos,"132,00",Brinquedos do Brasil Ltda,3.02,169,null,S ,2019-05-26
PROD-0430,Gym para Bebe,Brinquedos, 239.00,Brinquedos do Brasil Ltda,1.73,258,null,sim,2020-03-27
PROD-0431,Mordedor Infantil Kit,Brinquedos,25.00,Brinquedos do Brasil Ltda,0.47,334,null,Sim,2025-04-26
PROD-0432,Chocalho Kit,Brinquedos,31.00,Brinquedos do Brasil Ltda,5.75,0,null,S ,2019-11-11
PROD-0433,Sofa 3 Lugares,Moveis,0,MoveisPlus Distribuidora,20.67,98,null,Sim,2021-02-10
PROD-0434,Sofa 2 Lugares,Moveis,703.00,Interiores Import Ltda,60.88,233,null,1,2022-08-06
PROD-0435,Sofa Retratil 3 Lugares,Moveis,1253.00,MoveisPlus Distribuidora,61.4,155,null,SIM,2023-06-09
PROD-0436,Sofa Cama,Moveis,1890.00,MoveisPlus Distribuidora,8,493,null,SIM,2025-03-14
PROD-0437,Poltrona Reclinavel,Moveis,1520.00,MoveisPlus Distribuidora,9.12,133,null,S ,2022-10-14
PROD-0438,Mesa de Jantar 6 Cadeiras,Moveis,-100,MoveisPlus Distribuidora,73.85,192,null,1,2026-03-08
PROD-0439,Mesa de Jantar 4 Cadeiras,moveis,1086.00,MoveisPlus Distribuidora,8.38,308,null,S ,2025-02-08
PROD-0440,Mesa de Jantar 8 Cadeiras,Moveis,4168.00,MoveisPlus Distribuidora,15.05,380,null,Sim,2024-10-17
PROD-0441,Cadeira de Escritorio Ergonomica,mov,820.00,MoveisPlus Distribuidora,7.33,191,null,N,2026-01-25
PROD-0442,Cadeira de Escritorio Basica,Moveis,538.00,Decor Brasil Atacado,null,82,null,NAO,2024-07-05
PROD-0443,Cadeira Gamer,Moveis,-100,Interiores Import Ltda,40.25,308,null,SIM,2025-06-28
PROD-0444,Estante de Livros 5 Prateleiras,Moveis,655.00,MoveisPlus Distribuidora,19.7,null,null,NAO,2021-08-20
PROD-0445,Estante de Livros 3 Prateleiras,Moveis,513.00,Decor Brasil Atacado,49.55,400,null,Nao,2025-01-09
PROD-0446,Guarda-roupa 6 Portas,Moveis,3175.00,Decor Brasil Atacado,52.48,57,null,S,2019-07-05
PROD-0447,Guarda-roupa 4 Portas,Moveis,null,MoveisPlus Distribuidora,78.95,356,null,S,2019-08-10
PROD-0448,Guarda-roupa 2 Portas,Moveis,"R$ 1228,00",Decor Brasil Atacado,44.9,252,null,S ,2020-01-03
PROD-0449,Cama Casal com Cabeceira,Moveis,1070.00,Decor Brasil Atacado,14.6,66,null,S,2021-03-18
PROD-0450,Cama Solteiro com Cabeceira,Moveis, 835.00,Interiores Import Ltda,13.78,470,null,sim,2018-04-30
PROD-0451,Cama Box Casal,Moveis,0,Decor Brasil Atacado,56.75,170,null,1,2020-12-31
PROD-0452,Cama Box Solteiro,Moveis,703.00,Interiores Import Ltda,59.6,null,null,1,2023-01-02
PROD-0453,Escrivaninha com Gavetas,Moveis,541.00,MoveisPlus Distribuidora,7.1,238,null,1,2024-09-28
PROD-0454,Escrivaninha Simples,Moveis,290.00,MoveisPlus Distribuidora,null,234,null,SIM,2019-06-06
PROD-0455,Mesa de Centro,null,649.00,MoveisPlus Distribuidora,66.57,292,null,Sim,2020-08-07
PROD-0456,Mesa de Canto,null,"506,00",Decor Brasil Atacado,6.05,4,null,S,2022-03-22
PROD-0457,Rack para TV,Moveis,1047.00,Decor Brasil Atacado,53.9,54,null,SIM,2024-04-04
PROD-0458,Painel para TV,Moveis,591.00,Interiores Import Ltda,27.35,12,null,1,2018-10-22
PROD-0459,Painel com Lareira,Moveis,-100,Decor Brasil Atacado,44.6,106,null,Sim,2023-02-24
PROD-0460,Penteadeira com Espelho,Moveis,806.00,MoveisPlus Distribuidora,null,149,null,1,2025-06-18
PROD-0461,Cabeceira Casal,Moveis,291.00,Decor Brasil Atacado,36.42,46,null,sim,2025-04-28
PROD-0462,Cabeceira Solteiro,Moveis,505.00,MoveisPlus Distribuidora,73.62,459,null,sim,2022-05-14
PROD-0463,Poltrona Decorativa,mov,1491.00,Decor Brasil Atacado,31.62,211,null,Nao,2022-02-22
PROD-0464,Berco Americano,Moveis,0,Interiores Import Ltda,73.92,261,null,sim,2020-12-20
PROD-0465,Berco Multifuncional,Moveis,1927.00,MoveisPlus Distribuidora,null,422,null,S ,2024-11-27
PROD-0466,Mesa Lateral,Moveis,274.00,MoveisPlus Distribuidora,11.15,340,null,0,2025-06-21
PROD-0467,Criado Mudo,Moveis,464.00,MoveisPlus Distribuidora,17.6,481,null,S,2024-11-09
PROD-0468,Comoda 5 Gavetas,Moveis,462.00,Decor Brasil Atacado,5.53,58,null,S ,2022-09-02
PROD-0469,Comoda 3 Gavetas,Moveis,null,MoveisPlus Distribuidora,23.07,299,null,sim,2026-03-05
PROD-0470,Armario de Cozinha 6 Portas,Moveis,null,Decor Brasil Atacado,24.95,0,null,Sim,2021-05-19
PROD-0471,Balcao de Cozinha,Moveis,"1485,00",Decor Brasil Atacado,78.72,263,null,S ,2020-05-22
PROD-0472,Prateleira Flutuante Kit 3,MOVEIS,460.00,MoveisPlus Distribuidora,8.68,103,null,S,2019-12-21
PROD-0473,Sapateira com Tampa,Moveis,449.00,MoveisPlus Distribuidora,45.65,388,null,Sim,2024-03-16
PROD-0474,Cabideiro de Parede,Moveis,113.00,Decor Brasil Atacado,11.97,391,null,S,2021-04-26
PROD-0475,Cadeira de Balanco,Moveis,"632,00",MoveisPlus Distribuidora,6.42,399,null,S,2019-05-05
PROD-0476,Cadeira de Jardim,Moveis,397.00,MoveisPlus Distribuidora,null,50,null,S ,2019-08-07
